#Base,Mean,Median,Lower Quartile,Upper Quartile,10th Percentile,90th Percentile,ID
7,37.381634487963225,38.0,38.0,38.0,37.0,38.0,SRR25023302_1_val_1_fastqc_1
8,37.00079438729269,38.0,38.0,38.0,35.0,38.0,SRR25023302_1_val_1_fastqc_1
9,37.072307297891626,38.0,38.0,38.0,36.0,38.0,SRR25023302_1_val_1_fastqc_1
10-14,36.98967802038687,38.0,37.6,38.0,35.4,38.0,SRR25023302_1_val_1_fastqc_1
15-19,37.12111806400595,38.0,37.8,38.0,35.8,38.0,SRR25023302_1_val_1_fastqc_1
20-24,37.05521394051167,38.0,38.0,38.0,36.0,38.0,SRR25023302_1_val_1_fastqc_1
25-29,36.90430865169662,38.0,37.2,38.0,34.8,38.0,SRR25023302_1_val_1_fastqc_1
30-34,36.85121251807032,38.0,37.0,38.0,35.0,38.0,SRR25023302_1_val_1_fastqc_1
35-39,36.82396179665872,38.0,37.0,38.0,34.8,38.0,SRR25023302_1_val_1_fastqc_1
40-44,36.77663364513866,38.0,37.0,38.0,34.6,38.0,SRR25023302_1_val_1_fastqc_1
45-49,36.67309444395407,38.0,37.0,38.0,34.0,38.0,SRR25023302_1_val_1_fastqc_1
50-54,36.720692920985655,38.0,37.0,38.0,34.0,38.0,SRR25023302_1_val_1_fastqc_1
55-59,36.62346593667143,38.0,37.0,38.0,34.0,38.0,SRR25023302_1_val_1_fastqc_1
60-64,36.64769034460424,38.0,37.0,38.0,34.0,38.0,SRR25023302_1_val_1_fastqc_1
65-69,36.63005075409946,38.0,37.0,38.0,34.0,38.0,SRR25023302_1_val_1_fastqc_1
70-74,36.56968630365624,38.0,37.0,38.0,34.0,38.0,SRR25023302_1_val_1_fastqc_1
75-79,36.46521094622819,38.0,37.0,38.0,33.8,38.0,SRR25023302_1_val_1_fastqc_1
80-84,36.43222961658049,38.0,37.0,38.0,34.0,38.0,SRR25023302_1_val_1_fastqc_1
85-89,36.4336217831714,38.0,37.0,38.0,34.0,38.0,SRR25023302_1_val_1_fastqc_1
90-94,36.3924764604654,38.0,37.0,38.0,33.8,38.0,SRR25023302_1_val_1_fastqc_1
95-99,36.23711289929916,38.0,37.0,38.0,33.4,38.0,SRR25023302_1_val_1_fastqc_1
100-104,36.28202155693372,38.0,37.0,38.0,33.4,38.0,SRR25023302_1_val_1_fastqc_1
105-109,36.191107485278486,38.0,37.0,38.0,32.6,38.0,SRR25023302_1_val_1_fastqc_1
110-114,36.18492751784263,38.0,37.0,38.0,32.6,38.0,SRR25023302_1_val_1_fastqc_1
115-119,36.08593254834804,38.0,37.0,38.0,32.4,38.0,SRR25023302_1_val_1_fastqc_1
120-124,36.15557664513655,38.0,37.0,38.0,32.2,38.0,SRR25023302_1_val_1_fastqc_1
125-129,35.997279247755685,38.0,37.0,38.0,32.0,38.0,SRR25023302_1_val_1_fastqc_1
130-134,35.87441122071258,38.0,36.6,38.0,31.4,38.0,SRR25023302_1_val_1_fastqc_1
135-139,36.034420619934224,38.0,37.0,38.0,32.4,38.0,SRR25023302_1_val_1_fastqc_1
140-144,36.063892187978695,38.0,37.0,38.0,32.2,38.0,SRR25023302_1_val_1_fastqc_1
145-149,35.97308495620634,38.0,36.8,38.0,31.8,38.0,SRR25023302_1_val_1_fastqc_1
150-154,36.25154454192101,38.0,37.0,38.0,33.6,38.0,SRR25023302_1_val_1_fastqc_1
155-159,36.28670567018035,38.0,37.0,38.0,34.0,38.0,SRR25023302_1_val_1_fastqc_1
160-164,36.30268592545526,38.0,37.0,38.0,34.0,38.0,SRR25023302_1_val_1_fastqc_1
165-169,36.15415655854032,38.0,37.0,38.0,33.2,38.0,SRR25023302_1_val_1_fastqc_1
170-174,36.31424051085097,38.0,37.0,38.0,33.8,38.0,SRR25023302_1_val_1_fastqc_1
175-179,36.40886358589978,38.0,37.0,38.0,34.0,38.0,SRR25023302_1_val_1_fastqc_1
180-184,36.114988012541815,38.0,37.0,38.0,33.6,38.0,SRR25023302_1_val_1_fastqc_1
185-189,35.85757189240932,38.0,37.0,38.0,31.8,38.0,SRR25023302_1_val_1_fastqc_1
190-194,35.72288306203325,38.0,36.6,38.0,31.2,38.0,SRR25023302_1_val_1_fastqc_1
195-199,35.484701344841426,38.0,36.0,38.0,30.0,38.0,SRR25023302_1_val_1_fastqc_1
200-204,35.155837255665865,38.0,35.6,38.0,28.4,38.0,SRR25023302_1_val_1_fastqc_1
205-209,35.38340575898053,37.8,36.0,38.0,29.4,38.0,SRR25023302_1_val_1_fastqc_1
210-214,35.03028924503694,37.8,35.4,38.0,27.6,38.0,SRR25023302_1_val_1_fastqc_1
215-219,34.33263850839419,37.2,34.2,38.0,25.4,38.0,SRR25023302_1_val_1_fastqc_1
220-224,34.16773730743338,37.0,34.8,38.0,23.0,38.0,SRR25023302_1_val_1_fastqc_1
225-229,33.31134506724524,37.0,33.4,38.0,21.4,38.0,SRR25023302_1_val_1_fastqc_1
230-234,32.9485172986336,36.2,31.8,38.0,21.6,38.0,SRR25023302_1_val_1_fastqc_1
235-239,30.76037868423382,34.8,26.8,37.2,14.6,38.0,SRR25023302_1_val_1_fastqc_1
240-244,28.35958477393941,31.6,22.8,36.4,11.4,37.6,SRR25023302_1_val_1_fastqc_1
245-249,29.170051292654296,32.8,24.8,36.4,14.4,37.4,SRR25023302_1_val_1_fastqc_1
1,32.939149933379795,34.0,34.0,34.0,32.0,34.0,SRR25023302_2_val_2_fastqc_2
2,33.15241764550828,34.0,34.0,34.0,32.0,34.0,SRR25023302_2_val_2_fastqc_2
3,33.26842346620062,34.0,34.0,34.0,33.0,34.0,SRR25023302_2_val_2_fastqc_2
4,33.35392120400227,34.0,34.0,34.0,34.0,34.0,SRR25023302_2_val_2_fastqc_2
5,33.30935246603092,34.0,34.0,34.0,34.0,34.0,SRR25023302_2_val_2_fastqc_2
