#Base,Mean,Median,Lower Quartile,Upper Quartile,10th Percentile,90th Percentile,ID
35-39,35.10630847809077,38.0,35.8,38.0,27.8,"38.0
",SRR25023039_2_val_2_fastqc_2
40-44,35.23053222249079,38.0,35.8,38.0,28.6,"38.0
",SRR25023039_2_val_2_fastqc_2
45-49,34.82175184394658,37.2,35.0,38.0,26.8,"38.0
",SRR25023039_2_val_2_fastqc_2
50-54,34.7902397488669,37.0,34.6,38.0,27.0,"38.0
",SRR25023039_2_val_2_fastqc_2
55-59,34.64524586429177,37.0,34.6,38.0,26.2,"38.0
",SRR25023039_2_val_2_fastqc_2
60-64,34.79488931542092,37.0,34.8,38.0,27.0,"38.0
",SRR25023039_2_val_2_fastqc_2
65-69,34.69810163405542,37.0,34.2,38.0,26.8,"38.0
",SRR25023039_2_val_2_fastqc_2
70-74,34.924373247263865,37.0,35.0,38.0,27.0,"38.0
",SRR25023039_2_val_2_fastqc_2
75-79,34.79684131722429,37.0,35.0,38.0,27.0,"38.0
",SRR25023039_2_val_2_fastqc_2
80-84,34.73573537400215,37.0,34.6,38.0,27.0,"38.0
",SRR25023039_2_val_2_fastqc_2
85-89,34.81416069385536,37.0,35.0,38.0,27.0,"38.0
",SRR25023039_2_val_2_fastqc_2
90-94,34.53370562689595,37.0,34.2,38.0,26.2,"38.0
",SRR25023039_2_val_2_fastqc_2
95-99,34.58163502779828,37.0,34.4,38.0,27.0,"38.0
",SRR25023039_2_val_2_fastqc_2
100-104,34.389485594706855,37.0,34.0,38.0,25.6,"38.0
",SRR25023039_2_val_2_fastqc_2
105-109,34.609392980492785,37.0,34.2,38.0,26.6,"38.0
",SRR25023039_2_val_2_fastqc_2
110-114,34.14369606762435,37.0,34.0,38.0,25.0,"38.0
",SRR25023039_2_val_2_fastqc_2
115-119,34.220147448812284,37.0,34.0,38.0,24.6,"38.0
",SRR25023039_2_val_2_fastqc_2
120-124,34.328760305499216,37.0,34.0,38.0,25.2,"38.0
",SRR25023039_2_val_2_fastqc_2
125-129,34.254640924101565,37.0,34.0,38.0,24.6,"38.0
",SRR25023039_2_val_2_fastqc_2
130-134,34.35590588486684,37.0,34.0,38.0,25.0,"38.0
",SRR25023039_2_val_2_fastqc_2
135-139,34.488424615099404,37.0,34.4,38.0,26.0,"38.0
",SRR25023039_2_val_2_fastqc_2
140-144,34.410610778996926,37.0,34.4,38.0,26.0,"38.0
",SRR25023039_2_val_2_fastqc_2
145-149,34.51949492356398,37.0,34.2,38.0,26.2,"38.0
",SRR25023039_2_val_2_fastqc_2
150-154,34.192803248432064,37.0,34.0,38.0,25.6,"38.0
",SRR25023039_2_val_2_fastqc_2
155-159,33.580632416809046,37.0,33.0,38.0,23.2,"38.0
",SRR25023039_2_val_2_fastqc_2
160-164,34.34645833488944,37.0,34.0,38.0,25.6,"38.0
",SRR25023039_2_val_2_fastqc_2
165-169,33.99584778571212,37.0,34.2,38.0,25.2,"38.0
",SRR25023039_2_val_2_fastqc_2
170-174,34.56029149265334,37.0,34.6,38.0,26.6,"38.0
",SRR25023039_2_val_2_fastqc_2
175-179,34.8107797971706,37.0,34.8,38.0,28.0,"38.0
",SRR25023039_2_val_2_fastqc_2
180-184,33.88948741139963,36.8,33.8,37.8,25.4,"37.8
",SRR25023039_2_val_2_fastqc_2
185-189,34.060013234096154,37.0,33.8,38.0,25.0,"38.0
",SRR25023039_2_val_2_fastqc_2
190-194,34.47658733038777,37.0,34.0,38.0,27.0,"38.0
",SRR25023039_2_val_2_fastqc_2
195-199,33.823442213452026,37.0,33.8,37.8,24.2,"38.0
",SRR25023039_2_val_2_fastqc_2
200-204,33.47135488069786,36.6,33.4,37.8,24.4,"38.0
",SRR25023039_2_val_2_fastqc_2
205-209,33.195084392087004,36.4,32.4,38.0,22.8,"38.0
",SRR25023039_2_val_2_fastqc_2
210-214,28.91032187946245,35.666666666666664,33.0,37.333333333333336,9.0,"37.666666666666664
",SRR25023039_2_val_2_fastqc_2
215-219,9.82021164021164,,,,,"NaN
",SRR25023039_2_val_2_fastqc_2
220-224,11.9,,,,,"NaN
",SRR25023039_2_val_2_fastqc_2
225-229,11.22,,,,,"NaN
",SRR25023039_2_val_2_fastqc_2
230-234,7.779999999999999,,,,,"NaN
",SRR25023039_2_val_2_fastqc_2
235-239,2.0,,,,,"NaN
",SRR25023039_2_val_2_fastqc_2
240-244,15.6,,,,,"NaN
",SRR25023039_2_val_2_fastqc_2
1,32.91654527919119,34.0,34.0,34.0,31.0,"34.0
",SRR25023040_1_val_1_fastqc_1
2,32.508650104759056,34.0,34.0,34.0,31.0,"34.0
",SRR25023040_1_val_1_fastqc_1
3,33.28960723668895,34.0,34.0,34.0,32.0,"34.0
",SRR25023040_1_val_1_fastqc_1
4,33.01598988991985,34.0,34.0,34.0,32.0,"34.0
",SRR25023040_1_val_1_fastqc_1
5,33.302703781303,34.0,34.0,34.0,33.0,"34.0
",SRR25023040_1_val_1_fastqc_1
6,36.79727293890718,38.0,37.0,38.0,35.0,"38.0
",SRR25023040_1_val_1_fastqc_1
7,37.08238385047724,38.0,37.0,38.0,36.0,"38.0
",SRR25023040_1_val_1_fastqc_1
8,37.03777312181982,38.0,37.0,38.0,36.0,"38.0
",SRR25023040_1_val_1_fastqc_1
9,36.739685390269045,38.0,37.0,38.0,34.0,"38.0
",SRR25023040_1_val_1_fastqc_1
10-14,36.948816388972034,38.0,37.0,38.0,35.4,"38.0
",SRR25023040_1_val_1_fastqc_1
15-19,36.86534703515248,38.0,37.0,38.0,34.6,"38.0
",SRR25023040_1_val_1_fastqc_1
20-24,36.74174534898274,38.0,37.0,38.0,34.2,"38.0
",SRR25023040_1_val_1_fastqc_1
25-29,36.53658274154103,38.0,37.0,38.0,34.0,"38.0
",SRR25023040_1_val_1_fastqc_1
30-34,36.59284677334816,38.0,37.0,38.0,34.0,"38.0
",SRR25023040_1_val_1_fastqc_1
35-39,36.029828091985145,38.0,36.8,38.0,32.4,"38.0
",SRR25023040_1_val_1_fastqc_1
40-44,36.22119832322162,38.0,37.0,38.0,33.6,"38.0
",SRR25023040_1_val_1_fastqc_1
45-49,36.303441935220505,38.0,37.0,38.0,34.0,"38.0
",SRR25023040_1_val_1_fastqc_1
50-54,36.28308900105329,38.0,37.0,38.0,34.0,"38.0
",SRR25023040_1_val_1_fastqc_1
55-59,36.31001861001766,38.0,37.0,38.0,34.0,"38.0
",SRR25023040_1_val_1_fastqc_1
